identifiant fonctionnel;domaine;fonctionnalité;description du comportement réel;fichier source;fonction ou zone source;données entrée;données sortie;dépendances;cas particuliers;risques;nouveau module prévu;test prévu;critère validation;statut;différence volontaire;justification
OUT-018;Outil migration;correspondance par identifiants;Comportement existant audité: correspondance par identifiants.;migration intranet v7.html;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";core/adapters/* + studio/workflows;test-caracterisation-out-018;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
OUT-019;Outil migration;préfixes départementaux;Comportement existant audité: préfixes départementaux.;migration intranet v7.html;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";core/adapters/* + studio/workflows;test-caracterisation-out-019;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
OUT-020;Outil migration;contrôles groupes/lieux/UAI/RNE;Comportement existant audité: contrôles groupes/lieux/UAI/RNE.;migration intranet v7.html;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";core/adapters/* + studio/workflows;test-caracterisation-out-020;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
OUT-021;Outil migration;sélection des départements;Comportement existant audité: sélection des départements.;migration intranet v7.html;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";core/adapters/* + studio/workflows;test-caracterisation-out-021;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
OUT-022;Outil migration;duplication départementale;Comportement existant audité: duplication départementale.;migration intranet v7.html;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";core/adapters/* + studio/workflows;test-caracterisation-out-022;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
OUT-023;Outil migration;duplication bidépartementale;Comportement existant audité: duplication bidépartementale.;migration intranet v7.html;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";core/adapters/* + studio/workflows;test-caracterisation-out-023;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
OUT-024;Outil migration;prévisualisation Drupal;Comportement existant audité: prévisualisation Drupal.;migration intranet v7.html;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";core/adapters/* + studio/workflows;test-caracterisation-out-024;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
OUT-025;Outil migration;correction éditoriale;Comportement existant audité: correction éditoriale.;migration intranet v7.html;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";core/adapters/* + studio/workflows;test-caracterisation-out-025;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
OUT-026;Outil migration;annulation correction;Comportement existant audité: annulation correction.;migration intranet v7.html;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";core/adapters/* + studio/workflows;test-caracterisation-out-026;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
OUT-027;Outil migration;publics globaux;Comportement existant audité: publics globaux.;migration intranet v7.html;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";core/adapters/* + studio/workflows;test-caracterisation-out-027;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
OUT-028;Outil migration;publics par parcours;Comportement existant audité: publics par parcours.;migration intranet v7.html;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";core/adapters/* + studio/workflows;test-caracterisation-out-028;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
OUT-029;Outil migration;thématique globale;Comportement existant audité: thématique globale.;migration intranet v7.html;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";core/adapters/* + studio/workflows;test-caracterisation-out-029;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
OUT-030;Outil migration;thématique par parcours;Comportement existant audité: thématique par parcours.;migration intranet v7.html;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";core/adapters/* + studio/workflows;test-caracterisation-out-030;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
OUT-031;Outil migration;dates par défaut;Comportement existant audité: dates par défaut.;migration intranet v7.html;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";core/adapters/* + studio/workflows;test-caracterisation-out-031;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
OUT-032;Outil migration;contrôles qualité;Comportement existant audité: contrôles qualité.;migration intranet v7.html;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";core/adapters/* + studio/workflows;test-caracterisation-out-032;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
OUT-033;Outil migration;exports JSON;Comportement existant audité: exports JSON.;migration intranet v7.html;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";core/adapters/* + studio/workflows;test-caracterisation-out-033;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
OUT-034;Outil migration;exports CSV;Comportement existant audité: exports CSV.;migration intranet v7.html;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";core/adapters/* + studio/workflows;test-caracterisation-out-034;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
OUT-035;Outil migration;exports Excel;Comportement existant audité: exports Excel.;migration intranet v7.html;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";core/adapters/* + studio/workflows;test-caracterisation-out-035;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
OUT-036;Outil migration;sauvegarde locale;Comportement existant audité: sauvegarde locale.;migration intranet v7.html;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";core/adapters/* + studio/workflows;test-caracterisation-out-036;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
OUT-037;Outil migration;restauration;Comportement existant audité: restauration.;migration intranet v7.html;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";core/adapters/* + studio/workflows;test-caracterisation-out-037;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
OUT-038;Outil migration;réinitialisation;Comportement existant audité: réinitialisation.;migration intranet v7.html;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";core/adapters/* + studio/workflows;test-caracterisation-out-038;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
OUT-039;Outil migration;préparation mises à jour intranet;Comportement existant audité: préparation mises à jour intranet.;migration intranet v7.html;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";core/adapters/* + studio/workflows;test-caracterisation-out-039;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
OUT-040;Outil migration;prévisualisation différences;Comportement existant audité: prévisualisation différences.;migration intranet v7.html;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";core/adapters/* + studio/workflows;test-caracterisation-out-040;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
OUT-041;Outil migration;suppression de lignes;Comportement existant audité: suppression de lignes.;migration intranet v7.html;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";core/adapters/* + studio/workflows;test-caracterisation-out-041;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
OUT-042;Outil migration;restauration de lignes;Comportement existant audité: restauration de lignes.;migration intranet v7.html;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";core/adapters/* + studio/workflows;test-caracterisation-out-042;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
OUT-043;Outil migration;MAJ massive publics/thématiques;Comportement existant audité: MAJ massive publics/thématiques.;migration intranet v7.html;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";core/adapters/* + studio/workflows;test-caracterisation-out-043;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
OUT-044;Outil migration;mise à jour recensement;Comportement existant audité: mise à jour recensement.;migration intranet v7.html;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";core/adapters/* + studio/workflows;test-caracterisation-out-044;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
OUT-045;Outil migration;journalisation;Comportement existant audité: journalisation.;migration intranet v7.html;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";core/adapters/* + studio/workflows;test-caracterisation-out-045;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
CRÉ-046;Création;chargement create_pages;Comportement existant audité: chargement create_pages.;10_07_Tampermonkey Creation parcours intranet.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/legacy-create;test-caracterisation-cré-046;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
CRÉ-047;Création;parsing JSON avec/sans bloc Markdown;Comportement existant audité: parsing JSON avec/sans bloc Markdown.;10_07_Tampermonkey Creation parcours intranet.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/legacy-create;test-caracterisation-cré-047;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
CRÉ-048;Création;navigation formulaire Formation;Comportement existant audité: navigation formulaire Formation.;10_07_Tampermonkey Creation parcours intranet.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/legacy-create;test-caracterisation-cré-048;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
CRÉ-049;Création;menu Seeds Add;Comportement existant audité: menu Seeds Add.;10_07_Tampermonkey Creation parcours intranet.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/legacy-create;test-caracterisation-cré-049;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
CRÉ-050;Création;titre;Comportement existant audité: titre.;10_07_Tampermonkey Creation parcours intranet.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/legacy-create;test-caracterisation-cré-050;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
CRÉ-051;Création;chapo;Comportement existant audité: chapo.;10_07_Tampermonkey Creation parcours intranet.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/legacy-create;test-caracterisation-cré-051;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
CRÉ-052;Création;médiathèque;Comportement existant audité: médiathèque.;10_07_Tampermonkey Creation parcours intranet.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/legacy-create;test-caracterisation-cré-052;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
CRÉ-053;Création;dossier Bannières;Comportement existant audité: dossier Bannières.;10_07_Tampermonkey Creation parcours intranet.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/legacy-create;test-caracterisation-cré-053;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
CRÉ-054;Création;choix aléatoire image;Comportement existant audité: choix aléatoire image.;10_07_Tampermonkey Creation parcours intranet.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/legacy-create;test-caracterisation-cré-054;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
CRÉ-055;Création;page suivante médiathèque;Comportement existant audité: page suivante médiathèque.;10_07_Tampermonkey Creation parcours intranet.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/legacy-create;test-caracterisation-cré-055;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
CRÉ-056;Création;thématiques;Comportement existant audité: thématiques.;10_07_Tampermonkey Creation parcours intranet.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/legacy-create;test-caracterisation-cré-056;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
CRÉ-057;Création;valeurs obligatoires création;Comportement existant audité: valeurs obligatoires création.;10_07_Tampermonkey Creation parcours intranet.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/legacy-create;test-caracterisation-cré-057;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
CRÉ-058;Création;autocomplete Drupal;Comportement existant audité: autocomplete Drupal.;10_07_Tampermonkey Creation parcours intranet.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/legacy-create;test-caracterisation-cré-058;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
